time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
439	93.29311	0.5773913	126.5071	-4.017239
440	92.61298	0.4238965	126.2023	-4.047402
441	93.19073	0.4510132	125.853	-4.145874
442	92.85637	0.1615039	125.8456	-4.054866
443	92.76987	0.4151807	127.8496	-4.298354
444	93.50442	0.3784253	125.0523	-4.247497
445	93.49769	0.4436865	125.6782	-4.375874
446	93.96523	0.3977844	126.2221	-4.173567
447	93.68826	0.4351245	128.1354	-4.009451
448	92.77161	0.4804663	126.5996	-3.940869
449	93.64147	0.267821	124.592	-4.040757
450	92.89553	0.3842224	123.5413	-4.089858
451	91.82749	0.3576733	125.3163	-3.694736
452	93.51717	0.3847046	128.4199	-4.00532
453	92.67836	0.3870776	125.5412	-5.014775
454	93.30846	0.481864	124.1627	-3.592827
455	93.71128	0.3724744	127.3314	-4.29823
456	92.76371	0.4424023	127.1802	-4.30064
457	92.7072	0.3783154	126.5103	-3.968701
458	93.4997	0.3862427	127.3844	-4.27081
459	92.9925	0.2554736	126.2658	-3.749856
460	92.62563	0.2148242	128.146	-4.343157
461	92.66789	0.3134045	127.9923	-4.19897
462	92.26269	0.2334509	126.3614	-4.31873
463	92.50325	0.3083874	123.6214	-4.271308
464	92.70072	0.3323669	126.4495	-4.431916
465	92.48354	0.2046436	126.4417	-4.245762
466	93.28679	0.1687903	127.8231	-4.66998
467	92.4672	0.1692725	125.0418	-4.364502
468	93.41925	0.5331445	124.4174	-3.719394
469	92.6322	0.2584204	123.3279	-3.749878
470	91.86461	0.2734216	124.1431	-3.778867
471	92.94226	0.2332251	123.7644	-4.035161
472	92.1798	0.3566882	125.6865	-3.89678
473	92.46898	0.4023718	125.3731	-4.296533
474	93.36197	0.4272449	121.8102	-3.901177
475	92.8734	0.2391345	124.8566	-4.151916
476	93.45376	0.2452246	123.7437	-3.985959
477	93.40049	0.301283	123.8906	-4.068591
478	93.63639	0.2797192	123.5467	-4.245281
479	92.42167	0.2711841	122.843	-3.794641
480	92.80519	0.2034326	124.5661	-4.211765
481	91.95233	0.3214099	122.8601	-3.872463
482	92.48601	0.2145911	124.2553	-4.157402
483	91.72932	0.009716797	122.6489	-3.469568
484	91.80036	0.2645923	120.8286	-4.023567
485	92.28424	0.223479	124.1526	-3.920366
486	92.50154	0.2226965	122.4915	-4.13209
487	92.17463	0.3593152	121.3471	-3.966821
488	92.45933	0.3092883	121.3786	-3.774643
489	93.26771	0.06210937	121.5021	-3.898655
490	91.81527	-0.04385498	122.6053	-3.863184
491	92.8829	0.2624316	123.2757	-3.788323
492	92.7294	-0.1680164	121.5655	-4.119473
493	92.22603	0.2216418	121.938	-3.885127
494	93.07191	0.2180041	121.6348	-3.774707
495	92.96502	0.1013965	121.6994	-3.621863
496	92.48537	0.2446301	122.8928	-3.854123
497	92.3953	0.1968652	123.2056	-3.715676
498	92.70629	0.1463184	120.0301	-3.437168
499	92.12643	0.214751	123.2553	-3.616604
500	92.48017	0.1252844	122.4378	-3.664377
501	91.64816	0.09425903	124.4297	-4.293015
